PostId,TagId
"40599","304"
"40864","304"
"41047","304"
"41527","304"
"42608","304"
"43373","304"
"51690","304"
"56658","304"
"56829","304"
"57503","304"
"63746","304"
"64712","304"
"67053","304"
"75085","304"
"75885","304"
"76265","304"
"76934","304"
"81414","304"
"82045","304"
"83162","304"
"83937","304"
"85779","304"
"88508","304"
"88734","304"
"92734","304"
"98003","304"
"106768","304"
"107461","304"
"107810","304"
"108564","304"
"112617","304"
"112916","304"
"118931","304"
"2883","306"
"6287","306"
"8374","306"
"14069","306"
"14842","306"
"15718","306"
"16723","306"
"19879","306"
"22246","306"
"23150","306"
"23189","306"
"31841","306"
"35138","306"
"36043","306"
"38851","306"
"39322","306"
"40463","306"
"41752","306"
"44484","306"
"46821","306"
"49271","306"
"50944","306"
"52499","306"
"55963","306"
"56441","306"
"58434","306"
"58470","306"
"62535","306"
"64123","306"
"65239","306"
"72504","306"
"73238","306"
"80130","306"
"82115","306"
"89921","306"
"90601","306"
"91150","306"
"92311","306"
"92440","306"
"102059","306"
"102548","306"
"110371","306"
"2883","308"
"8175","308"
"9770","308"
"12462","308"
"14962","308"
"17253","308"
"18931","308"
"20735","308"
"23111","308"
"23496","308"
"24123","308"
"24991","308"
"26730","308"
"35615","308"
"36466","308"
"40508","308"
"44302","308"
"60150","308"
"72079","308"
"75122","308"
"87188","308"
"87389","308"
"93875","308"
"101923","308"
"101950","308"
"115280","308"
"5501","311"
"6879","311"
"7377","311"
"9118","311"
"13453","311"
"17646","311"
"27892","311"
"31055","311"
"37144","311"
"38163","311"
"40337","311"
"46733","311"
"53183","311"
"57658","311"
"60593","311"
"62501","311"
"67103","311"
"68095","311"
"76696","311"
"81854","311"
"94390","311"
"98625","311"
"99723","311"
"116343","311"
"1176","312"
"1194","312"
"1625","312"
"2278","312"
"2659","312"
"2871","312"
"3121","312"
"3208","312"
"3331","312"
"3713","312"
"3875","312"
"4195","312"
"5015","312"
"5202","312"
"5257","312"
"5807","312"
"6055","312"
"6059","312"
"6185","312"
"6189","312"
"6397","312"
"6629","312"
"6665","312"
"6752","312"
"6887","312"
"7043","312"
"7354","312"
"7421","312"
"7487","312"
"7588","312"
"7724","312"
"7752","312"
"8038","312"
"8122","312"
"8376","312"
"8397","312"
"8407","312"
"8526","312"
"8667","312"
"8728","312"
"8738","312"
"8787","312"
"8837","312"
"8868","312"
"8871","312"
"8873","312"
"8954","312"
"9007","312"
"9010","312"
"9237","312"
"9238","312"
"9258","312"
"9263","312"
"9365","312"
"9372","312"
"9452","312"
"9544","312"
"9569","312"
"9641","312"
"9677","312"
"9779","312"
"9796","312"
"9808","312"
"9809","312"
"9833","312"
"9840","312"
"9858","312"
"9884","312"
"9911","312"
"10035","312"
"10055","312"
"10056","312"
"10061","312"
"10101","312"
"10150","312"
"10164","312"
"10232","312"
"10312","312"
"10346","312"
"10348","312"
"10384","312"
"10681","312"
"10747","312"
"10835","312"
"10865","312"
"10992","312"
"11030","312"
"11080","312"
"11082","312"
"11132","312"
"11134","312"
"11155","312"
"11227","312"
"11312","312"
"11361","312"
"11375","312"
"11378","312"
"11479","312"
"11493","312"
"11870","312"
"11891","312"
"11896","312"
"11898","312"
"11911","312"
"11929","312"
"11943","312"
"11944","312"
"12063","312"
"12065","312"
"12143","312"
"12155","312"
"12244","312"
"12280","312"
"12319","312"
"12327","312"
"12332","312"
"12394","312"
"12450","312"
"12481","312"
"12500","312"
"12607","312"
"12638","312"
"12714","312"
"12784","312"
"12814","312"
