Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"69","49","2","","2010-08-09 00:00:00",""
"70","48","2","","2010-08-09 00:00:00",""
"71","37","3","","2010-08-09 00:00:00",""
"72","48","2","","2010-08-09 00:00:00",""
"73","49","1","","2010-08-09 00:00:00",""
"75","47","2","","2010-08-09 00:00:00",""
"81","51","3","","2010-08-09 00:00:00",""
"82","53","2","","2010-08-09 00:00:00",""
"83","49","2","","2010-08-09 00:00:00",""
"84","53","2","","2010-08-09 00:00:00",""
"85","55","2","","2010-08-09 00:00:00",""
"87","55","2","","2010-08-09 00:00:00",""
"88","46","2","","2010-08-09 00:00:00",""
"89","32","2","","2010-08-09 00:00:00",""
"90","43","2","","2010-08-09 00:00:00",""
"91","39","2","","2010-08-09 00:00:00",""
"92","46","2","","2010-08-09 00:00:00",""
"94","61","2","","2010-08-09 00:00:00",""
"95","62","2","","2010-08-09 00:00:00",""
"96","9","2","","2010-08-09 00:00:00",""
"97","59","2","","2010-08-09 00:00:00",""
"98","60","2","","2010-08-09 00:00:00",""
"99","4","2","","2010-08-09 00:00:00",""
"100","62","2","","2010-08-09 00:00:00",""
"101","16","2","","2010-08-09 00:00:00",""
"102","48","2","","2010-08-09 00:00:00",""
"103","63","2","","2010-08-09 00:00:00",""
"104","54","2","","2010-08-09 00:00:00",""
"105","65","2","","2010-08-09 00:00:00",""
"106","63","2","","2010-08-09 00:00:00",""
"107","36","2","","2010-08-09 00:00:00",""
"108","58","2","","2010-08-09 00:00:00",""
"109","57","2","","2010-08-09 00:00:00",""
"110","53","1","","2010-08-09 00:00:00",""
"111","63","3","","2010-08-09 00:00:00",""
"112","65","2","","2010-08-09 00:00:00",""
"113","4","3","","2010-08-09 00:00:00",""
"114","53","2","","2010-08-09 00:00:00",""
"115","13","2","","2010-08-09 00:00:00",""
"116","74","2","","2010-08-09 00:00:00",""
"118","77","2","","2010-08-09 00:00:00",""
"119","76","2","","2010-08-09 00:00:00",""
"120","70","2","","2010-08-09 00:00:00",""
"121","79","2","","2010-08-09 00:00:00",""
"122","77","2","","2010-08-09 00:00:00",""
